,1y Target Est,52 Week Range,Ask,Avg. Volume,Beta (5Y Monthly),Bid,Date,Day's Range,EPS (TTM),Earnings Date,Ex-Dividend Date,Forward Dividend & Yield,Market Cap,Name,Open,PE Ratio (TTM),Previous Close,Sector,Ticker,Volume,5y Average Return,Average for Category,Category,Expense Ratio (net),Holdings Turnover,Inception Date,Last Cap Gain,Last Dividend,Morningstar Rating,Morningstar Risk Rating,Net Assets,Sustainability Rating,YTD Return,Yield
10,29.50,12.00 - 29.07,25.57 x 4000,"5,874,620",0.79,24.80 x 1400,06/08/2021,25.17 - 25.58,-0.38,"Aug 04, 2021 - Aug 09, 2021","Apr 29, 2021",0.60 (2.41%),16.87B,AES Corp,25.39,N/A,25.32,Utilities,AES,"3,124,012",,,,,,,,,,,,,,
11,56.00,33.37 - 57.57,57.28 x 1200,"3,203,867",1.00,57.27 x 1800,06/08/2021,56.45 - 57.38,7.78,"Jul 26, 2021 - Jul 30, 2021","May 18, 2021",1.32 (2.30%),38.938B,Aflac,57.08,7.36,57.39,Financials,AFL,"3,900,650",,,,,,,,,,,,,,
12,145.94,83.71 - 140.32,138.68 x 800,"1,541,187",1.01,135.30 x 1200,06/08/2021,137.57 - 138.92,2.99,"Aug 16, 2021 - Aug 20, 2021","Jul 02, 2021",0.78 (0.56%),42.103B,Agilent Technologies,138.60,46.40,137.65,Health Care,A,"936,628",,,,,,,,,,,,,,
13,318.10,229.17 - 327.89,299.90 x 800,"887,301",0.80,297.83 x 800,06/08/2021,297.82 - 301.63,8.49,"Jul 21, 2021 - Jul 26, 2021","Jun 30, 2021",6.00 (1.99%),66.31B,Air Products & Chemicals,301.22,35.31,301.81,Materials,APD,"807,774",,,,,,,,,,,,,,
14,129.36,92.64 - 124.91,117.70 x 800,"1,559,429",0.41,117.31 x 900,06/08/2021,116.66 - 117.59,3.56,"Aug 03, 2021",N/A,N/A (N/A),19.119B,Akamai Technologies,117.29,32.96,115.95,Information Technology,AKAM,"1,125,980",,,,,,,,,,,,,,
15,82.08,33.00 - 74.25,66.85 x 800,"1,529,568",1.82,66.25 x 1300,06/08/2021,65.17 - 66.94,-9.88,"Jul 21, 2021 - Jul 26, 2021","Feb 14, 2020",N/A (N/A),8.253B,Alaska Air Group,66.00,N/A,65.56,Industrials,ALK,"1,269,948",,,,,,,,,,,,,,
16,162.13,72.39 - 188.35,177.99 x 1300,"1,031,959",1.55,174.70 x 1800,06/08/2021,170.84 - 177.55,3.35,"Aug 03, 2021 - Aug 09, 2021","Jun 10, 2021",1.56 (0.91%),20.544B,Albemarle Corporation,171.30,52.52,170.78,Materials,ALB,"819,771",,,,,,,,,,,,,,
17,196.05,150.08 - 189.73,188.43 x 900,"744,562",0.74,172.00 x 800,06/08/2021,188.13 - 189.73,5.74,"Jul 26, 2021 - Jul 30, 2021","Jun 29, 2021",4.48 (2.39%),27.776B,Alexandria Real Estate Equities,188.00,32.82,187.52,Real Estate,ARE,"583,310",,,,,,,,,,,,,,
18,177.36,99.91 - 179.12,178.43 x 900,"2,249,620",1.29,175.75 x 1000,06/08/2021,175.55 - 177.29,3.08,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),39.034B,Alexion Pharmaceuticals,177.00,57.32,176.28,Health Care,ALXN,"1,035,351",,,,,,,,,,,,,,
19,702.77,237.24 - 647.20,590.16 x 1000,"597,578",1.69,589.74 x 4000,06/08/2021,579.15 - 591.94,5.76,"Jul 28, 2021",N/A,N/A (N/A),46.672B,Align Technology,582.08,102.34,580.27,Health Care,ALGN,"337,094",,,,,,,,,,,,,,
20,146.40,94.01 - 144.76,139.31 x 1100,"701,592",1.20,139.41 x 1100,06/08/2021,137.29 - 139.65,4.57,"Jul 21, 2021 - Jul 26, 2021","Jun 15, 2021",1.44 (1.04%),12.507B,Allegion,138.17,30.41,138.00,Industrials,ALLE,"566,241",,,,,,,,,,,,,,
21,60.44,45.99 - 58.53,57.62 x 2200,"1,597,670",0.33,57.61 x 900,06/08/2021,57.12 - 58.31,2.45,"Aug 04, 2021 - Aug 09, 2021","Apr 29, 2021",1.61 (2.77%),14.405B,Alliant Energy,58.14,23.49,58.10,Utilities,LNT,"1,888,436",,,,,,,,,,,,,,
22,143.83,84.97 - 140.00,136.00 x 1300,"2,121,510",0.85,134.72 x 1000,06/08/2021,133.44 - 134.98,11.37,"Aug 04, 2021","Jun 03, 2021",3.24 (2.41%),40.285B,Allstate Corp,134.01,11.84,134.49,Financials,ALL,"1,624,869",,,,,,,,,,,,,,
23,"2,745.42","1,351.65 - 2,431.38","2,408.75 x 1200","1,551,892",1.02,"2,397.63 x 800",06/08/2021,"2,394.89 - 2,418.86",75.04,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),1.628T,Alphabet Inc. (Class A),"2,412.01",31.96,"2,402.30",Communication Services,GOOGL,"1,211,992",,,,,,,,,,,,,,
24,"2,625.00","1,347.01 - 2,494.50","2,484.69 x 2900","1,372,765",1.02,"2,480.10 x 1100",06/08/2021,"2,468.24 - 2,494.50",75.04,N/A,N/A,N/A (N/A),1.642T,Alphabet Inc. (Class C),"2,479.90",33.09,"2,466.09",Communication Services,GOOG,"1,253,253",,,,,,,,,,,,,,
25,53.78,35.83 - 52.59,49.97 x 1000,"9,848,354",0.65,49.91 x 4000,06/08/2021,49.74 - 50.55,2.33,"Jul 29, 2021","Jun 14, 2021",3.44 (6.81%),92.31B,Altria Group Inc,50.55,21.40,50.49,Consumer Staples,MO,"6,892,598",,,,,,,,,,,,,,
26,"4,239.43","2,503.35 - 3,554.00","3,275.50 x 1800","3,457,718",1.15,"3,268.00 x 1000",06/08/2021,"3,218.39 - 3,279.53",52.56,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),1.646T,Amazon.com Inc.,"3,222.61",62.10,"3,198.01",Consumer Discretionary,AMZN,"3,416,730",,,,,,,,,,,,,,
27,12.58,9.14 - 12.76,12.08 x 45100,"6,537,237",0.45,12.07 x 29200,06/08/2021,12.02 - 12.19,0.31,"Aug 16, 2021 - Aug 20, 2021","May 25, 2021",0.47 (3.87%),18.625B,Amcor plc,12.09,38.59,12.10,Materials,AMCR,"5,111,790",,,,,,,,,,,,,,
28,88.92,67.14 - 86.90,86.53 x 1000,"1,434,156",0.27,84.79 x 1000,06/08/2021,84.40 - 85.84,3.82,"Aug 05, 2021","Jun 08, 2021",2.20 (2.55%),21.658B,Ameren Corp,85.50,22.20,85.58,Utilities,AEE,"1,398,369",,,,,,,,,,,,,,
29,18.25,10.63 - 26.09,24.25 x 1400,"37,958,362",1.86,24.22 x 3100,06/08/2021,23.86 - 24.49,-14.73,"Jul 21, 2021 - Jul 26, 2021","Feb 04, 2020",N/A (N/A),15.534B,American Airlines Group,24.42,N/A,24.25,Industrials,AAL,"26,105,566",,,,,,,,,,,,,,
30,97.10,74.80 - 94.21,82.96 x 800,"2,902,196",0.25,82.92 x 2200,06/08/2021,81.94 - 85.81,4.57,"Aug 04, 2021 - Aug 09, 2021","May 07, 2021",2.96 (3.46%),41.464B,American Electric Power,85.81,18.16,85.67,Utilities,AEP,"6,889,950",,,,,,,,,,,,,,
31,154.49,89.11 - 167.14,167.10 x 1100,"2,961,570",1.29,166.08 x 800,06/08/2021,163.63 - 167.14,6.10,"Jul 22, 2021 - Jul 26, 2021","Jul 01, 2021",1.72 (1.04%),133.758B,American Express,164.86,27.29,165.92,Financials,AXP,"2,261,078",,,,,,,,,,,,,,
32,54.31,25.57 - 54.08,53.43 x 800,"4,138,010",1.38,53.10 x 800,06/08/2021,52.29 - 53.38,-4.44,"Aug 02, 2021 - Aug 06, 2021","Jun 14, 2021",1.28 (2.41%),45.679B,American International Group,52.67,N/A,53.07,Financials,AIG,"2,227,501",,,,,,,,,,,,,,
33,281.62,197.50 - 272.20,269.00 x 1300,"2,053,420",0.22,261.55 x 1100,06/08/2021,264.35 - 269.26,4.31,"Jul 28, 2021 - Aug 02, 2021","Jun 17, 2021",5.08 (1.89%),120.958B,American Tower Corp.,269.21,61.72,268.63,Real Estate,AMT,"1,424,319",,,,,,,,,,,,,,
34,165.36,120.67 - 172.56,157.38 x 900,"948,562",0.21,156.55 x 1100,06/08/2021,156.03 - 157.87,3.96,"Aug 03, 2021 - Aug 09, 2021","May 10, 2021",2.41 (1.53%),28.456B,American Water Works,157.80,39.62,157.47,Utilities,AWK,"478,759",,,,,,,,,,,,,,
35,277.00,138.70 - 269.29,264.12 x 1000,"697,387",1.70,263.80 x 800,06/08/2021,260.31 - 265.08,-0.53,"Jul 27, 2021 - Aug 02, 2021","May 07, 2021",4.52 (1.71%),30.588B,Ameriprise Financial,263.53,N/A,264.86,Financials,AMP,"452,800",,,,,,,,,,,,,,
36,130.73,92.00 - 125.86,118.72 x 800,"1,085,139",0.54,113.57 x 1400,06/08/2021,116.50 - 118.94,-18.34,"Aug 03, 2021 - Aug 09, 2021","May 14, 2021",1.76 (1.49%),24.454B,AmerisourceBergen,118.89,N/A,118.26,Health Care,ABC,"656,751",,,,,,,,,,,,,,
37,151.49,84.53 - 139.07,136.77 x 1300,"1,015,396",1.34,136.77 x 800,06/08/2021,135.74 - 137.40,3.49,"Aug 02, 2021 - Aug 06, 2021","Jun 11, 2021",0.80 (0.59%),31.569B,Ametek,136.99,39.16,136.68,Industrials,AME,"584,677",,,,,,,,,,,,,,
38,256.88,210.28 - 276.69,239.50 x 1100,"2,799,678",0.71,235.75 x 800,06/08/2021,235.25 - 239.12,12.07,"Jul 26, 2021 - Jul 30, 2021","May 14, 2021",7.04 (2.97%),136.066B,Amgen Inc.,238.93,19.62,237.19,Health Care,AMGN,"1,638,030",,,,,,,,,,,,,,
39,74.64,45.90 - 69.62,68.21 x 800,"2,661,457",1.25,67.90 x 900,06/08/2021,67.92 - 68.64,2.09,"Jul 20, 2021 - Jul 26, 2021","Jun 21, 2021",0.58 (0.85%),40.739B,Amphenol Corp,68.54,32.70,68.19,Information Technology,APH,"1,250,820",,,,,,,,,,,,,,
40,183.35,110.47 - 166.48,166.14 x 900,"3,339,820",1.25,159.00 x 1000,06/08/2021,163.27 - 166.48,4.19,"Aug 17, 2021 - Aug 23, 2021","May 27, 2021",2.76 (1.68%),60.823B,Analog Devices Inc.,166.51,39.36,164.48,Information Technology,ADI,"2,398,001",,,,,,,,,,,,,,
41,367.13,265.68 - 413.19,330.50 x 900,"463,860",1.21,329.31 x 800,06/08/2021,328.09 - 332.59,5.26,"Aug 03, 2021 - Aug 09, 2021",N/A,N/A (N/A),28.707B,ANSYS Inc.,330.71,62.66,328.57,Information Technology,ANSS,"318,210",,,,,,,,,,,,,,
42,424.09,244.10 - 406.00,391.77 x 1200,"1,133,710",1.06,391.54 x 800,06/08/2021,386.58 - 392.99,18.69,"Jul 21, 2021","Jun 09, 2021",4.52 (1.16%),95.953B,Anthem,388.42,20.97,389.10,Health Care,ANTM,"893,977",,,,,,,,,,,,,,
43,265.75,177.21 - 260.97,253.00 x 900,"1,649,796",0.84,244.74 x 800,06/08/2021,243.01 - 246.13,9.12,"Jul 29, 2021 - Aug 02, 2021","Apr 30, 2021",2.04 (0.82%),55.238B,Aon plc,246.00,26.84,247.52,Financials,AON,"1,704,720",,,,,,,,,,,,,,
44,25.93,7.45 - 24.30,23.16 x 3200,"7,414,840",4.93,23.12 x 21500,06/08/2021,22.73 - 23.46,0.02,"Jul 27, 2021 - Aug 02, 2021","Jul 21, 2021",0.10 (0.43%),8.746B,APA Corporation,23.46,"1,101.90",23.42,Energy,APA,"8,693,005",,,,,,,,,,,,,,
45,159.85,83.00 - 145.09,126.74 x 1000,"92,774,921",1.21,126.70 x 1200,06/08/2021,126.21 - 128.46,4.45,"Jul 28, 2021 - Aug 02, 2021","May 07, 2021",0.88 (0.70%),2.115T,Apple Inc.,126.60,28.49,125.90,Information Technology,AAPL,"72,497,627",,,,,,,,,,,,,,
46,162.30,54.15 - 146.00,136.45 x 1100,"10,519,390",1.45,135.95 x 900,06/08/2021,135.24 - 140.75,4.80,"Aug 11, 2021 - Aug 16, 2021","May 26, 2021",0.96 (0.69%),124.173B,Applied Materials Inc.,140.34,28.29,138.97,Information Technology,AMAT,"8,129,234",,,,,,,,,,,,,,
47,166.81,71.80 - 160.14,163.09 x 800,"1,477,529",2.14,159.15 x 800,06/08/2021,155.91 - 159.62,1.78,"Jul 28, 2021 - Aug 02, 2021","Feb 04, 2020",N/A (N/A),43.077B,Aptiv PLC,157.25,89.38,157.25,Consumer Discretionary,APTV,"912,307",,,,,,,,,,,,,,
48,69.83,37.54 - 69.30,68.73 x 800,"2,581,912",0.90,68.72 x 800,06/08/2021,68.10 - 68.92,3.68,"Jul 27, 2021 - Aug 02, 2021","May 18, 2021",1.48 (2.16%),38.4B,Archer-Daniels-Midland Co,68.48,18.67,68.66,Consumer Staples,ADM,"1,957,822",,,,,,,,,,,,,,
49,354.75,192.96 - 357.32,361.71 x 1000,"426,110",1.17,352.50 x 800,06/08/2021,351.28 - 357.32,8.53,"Aug 02, 2021 - Aug 06, 2021",N/A,N/A (N/A),27.073B,Arista Networks,352.80,41.57,352.51,Information Technology,ANET,"386,638",,,,,,,,,,,,,,
50,153.40,92.49 - 154.03,147.43 x 1100,"1,075,092",0.70,143.75 x 800,06/08/2021,143.12 - 144.41,4.35,"Jul 28, 2021 - Aug 02, 2021","Jun 03, 2021",1.92 (1.34%),29.698B,Arthur J. Gallagher & Co.,143.36,33.07,143.54,Financials,AJG,"1,465,914",,,,,,,,,,,,,,
51,189.60,96.72 - 163.81,163.60 x 900,"369,640",0.64,163.56 x 800,06/08/2021,160.97 - 163.81,7.18,"Aug 02, 2021 - Aug 06, 2021","May 28, 2021",2.64 (1.62%),9.9B,Assurant,161.86,22.78,162.55,Financials,AIZ,"318,042",,,,,,,,,,,,,,
52,30.56,26.35 - 33.88,28.98 x 28000,"47,478,864",0.74,28.95 x 45900,06/08/2021,28.73 - 29.04,-0.34,"Jul 22, 2021","Apr 08, 2021",2.08 (7.11%),206.917B,AT&T Inc.,29.03,N/A,29.08,Communication Services,T,"59,080,823",,,,,,,,,,,,,,
53,108.00,84.59 - 107.02,100.58 x 800,"820,226",0.39,100.36 x 800,06/08/2021,99.91 - 101.22,5.54,"Aug 03, 2021 - Aug 09, 2021","May 21, 2021",2.50 (2.48%),13.105B,Atmos Energy,101.15,18.11,100.97,Utilities,ATO,"591,950",,,,,,,,,,,,,,
54,334.06,215.83 - 321.13,279.45 x 800,"1,176,412",1.33,277.25 x 1100,06/08/2021,278.26 - 283.39,5.84,"Aug 23, 2021 - Aug 27, 2021","Mar 22, 2005",N/A (N/A),61.309B,Autodesk Inc.,281.99,47.75,278.89,Information Technology,ADSK,"809,026",,,,,,,,,,,,,,
55,196.80,127.31 - 199.53,200.00 x 1200,"1,882,740",0.73,198.86 x 800,06/08/2021,196.52 - 199.19,5.76,"Jul 27, 2021 - Aug 02, 2021","Jun 10, 2021",3.72 (1.89%),84.627B,Automatic Data Processing,197.13,34.56,196.72,Information Technology,ADP,"1,031,529",,,,,,,,,,,,,,
56,"1,631.24","1,074.45 - 1,542.30","1,418.78 x 900","210,590",0.95,"1,394.85 x 1000",06/08/2021,"1,375.29 - 1,399.89",91.06,"May 25, 2021",N/A,N/A (N/A),30.119B,AutoZone Inc,"1,384.35",15.30,"1,384.65",Consumer Discretionary,AZO,"173,044",,,,,,,,,,,,,,
57,202.16,131.38 - 214.22,213.03 x 1100,"746,112",0.96,207.59 x 800,06/08/2021,210.82 - 213.81,5.72,"Jul 27, 2021 - Aug 02, 2021","Jun 29, 2021",6.36 (3.00%),29.461B,AvalonBay Communities,211.79,36.88,212.14,Real Estate,AVB,"1,074,581",,,,,,,,,,,,,,
58,226.80,109.07 - 226.19,218.29 x 900,"572,190",1.02,218.52 x 800,06/08/2021,214.32 - 218.93,7.51,"Jul 26, 2021 - Jul 30, 2021","Jun 01, 2021",2.72 (1.26%),18.118B,Avery Dennison Corp,216.07,29.07,216.42,Materials,AVY,"380,394",,,,,,,,,,,,,,
59,28.07,12.13 - 26.57,25.96 x 1300,"9,360,356",1.75,25.95 x 3200,06/08/2021,25.45 - 26.03,N/A,"Jul 20, 2021 - Jul 26, 2021","May 24, 2021",0.72 (2.78%),27.029B,Baker Hughes Co,25.66,N/A,25.94,Energy,BKR,"5,380,580",,,,,,,,,,,,,,
60,105.07,66.25 - 102.76,80.57 x 1000,"2,008,796",0.42,80.59 x 800,06/08/2021,80.12 - 81.70,2.29,"Aug 04, 2021 - Aug 09, 2021","May 28, 2021",0.60 (0.74%),26.454B,Ball Corp,81.42,35.21,81.36,Materials,BLL,"1,443,835",,,,,,,,,,,,,,
61,43.45,22.39 - 43.49,42.92 x 21500,"48,183,598",1.57,42.87 x 1300,06/08/2021,42.42 - 43.24,2.33,"Jul 14, 2021","Jun 03, 2021",0.72 (1.68%),367.452B,Bank of America Corp,42.86,18.40,43.12,Financials,BAC,"41,871,447",,,,,,,,,,,,,,
62,94.00,74.79 - 91.45,80.92 x 800,"2,467,270",0.67,81.06 x 900,06/08/2021,80.25 - 81.66,2.07,"Jul 28, 2021 - Aug 02, 2021","Jun 03, 2021",1.12 (1.38%),40.776B,Baxter International Inc.,81.62,39.17,81.26,Health Care,BAX,"2,489,505",,,,,,,,,,,,,,
63,278.40,219.50 - 284.97,244.07 x 800,"1,373,640",0.77,237.01 x 900,06/08/2021,237.34 - 241.64,5.61,"Aug 04, 2021 - Aug 09, 2021","Jun 08, 2021",3.32 (1.39%),69.578B,Becton Dickinson,239.91,42.63,238.73,Health Care,BDX,"1,501,366",,,,,,,,,,,,,,
64,N/A,undefined - undefined,N/A x N/A,N/A,N/A,N/A x N/A,06/08/2021,N/A - N/A,N/A,N/A,N/A,N/A (N/A),N/A,Berkshire Hathaway,N/A,N/A,N/A,Financials,BRK.B,N/A,,,,,,,,,,,,,,
65,124.59,75.27 - 128.57,118.20 x 800,"2,461,876",1.55,118.51 x 900,06/08/2021,116.71 - 118.98,8.53,"Aug 23, 2021 - Aug 27, 2021","Jun 16, 2021",2.80 (2.39%),29.611B,Best Buy Co. Inc.,117.64,13.86,117.10,Consumer Discretionary,BBY,"1,537,433",,,,,,,,,,,,,,
66,755.00,425.43 - 689.00,594.78 x 800,"144,575",0.83,580.13 x 1800,06/08/2021,575.00 - 584.00,135.87,"Jul 28, 2021 - Aug 02, 2021",N/A,N/A (N/A),17.312B,Bio-Rad Laboratories,584.00,4.28,579.58,Health Care,BIO,"152,502",,,,,,,,,,,,,,
67,321.49,223.25 - 468.55,395.00 x 1000,"1,379,643",0.42,393.51 x 1100,06/08/2021,373.00 - 399.07,19.29,"Jul 20, 2021 - Jul 26, 2021",N/A,N/A (N/A),59.525B,Biogen Inc.,389.10,20.50,395.85,Health Care,BIIB,"12,209,332",,,,,,,,,,,,,,
68,906.31,515.72 - 890.00,884.93 x 800,"562,179",1.18,884.60 x 900,06/08/2021,878.09 - 886.53,34.51,"Jul 15, 2021 - Jul 19, 2021","Jun 03, 2021",16.52 (1.87%),134.912B,BlackRock,884.30,25.63,884.96,Financials,BLK,"303,322",,,,,,,,,,,,,,
69,262.83,141.58 - 278.57,252.50 x 1300,"15,291,075",1.63,252.26 x 29200,06/08/2021,250.00 - 256.29,-20.55,"Jul 27, 2021 - Aug 02, 2021","Feb 13, 2020",N/A (N/A),147.817B,Boeing Company,256.26,N/A,252.66,Industrials,BA,"15,113,870",,,,,,,,,,,,,,
70,"2,529.80","1,532.83 - 2,516.00","2,318.00 x 1000","389,468",1.27,"2,305.27 x 800",06/08/2021,"2,290.18 - 2,319.51",17.10,"Aug 04, 2021 - Aug 09, 2021",N/A,N/A (N/A),94.575B,Booking Holdings Inc,"2,300.42",134.71,"2,298.52",Consumer Discretionary,BKNG,"233,967",,,,,,,,,,,,,,
71,54.83,31.87 - 55.55,53.90 x 900,"2,086,790",1.57,53.29 x 1100,06/08/2021,52.30 - 53.70,1.96,"Aug 03, 2021 - Aug 09, 2021","May 28, 2021",0.68 (1.28%),12.853B,BorgWarner,52.71,27.34,53.11,Consumer Discretionary,BWA,"1,514,356",,,,,,,,,,,,,,
72,114.53,69.69 - 123.71,122.29 x 1000,"1,094,934",1.25,122.35 x 900,06/08/2021,122.18 - 123.71,2.93,"Jul 26, 2021 - Jul 30, 2021","Mar 30, 2021",3.92 (3.18%),19.096B,Boston Properties,122.80,41.71,123.15,Real Estate,BXP,"1,068,468",,,,,,,,,,,,,,
73,48.97,32.99 - 44.63,42.05 x 2200,"7,533,235",N/A,42.04 x 4000,06/08/2021,41.43 - 42.36,N/A,"Jul 27, 2021 - Aug 02, 2021",N/A,N/A (N/A),59.69B,Boston Scientific,42.37,298.01,42.14,Health Care,BSX,"4,840,199",,,,,,,,,,,,,,
74,75.37,54.07 - 67.96,63.85 x 2200,"10,727,792",0.62,63.80 x 3200,06/08/2021,63.22 - 64.89,-2.76,"Aug 04, 2021 - Aug 09, 2021","Mar 31, 2021",1.96 (3.02%),142.232B,Bristol-Myers Squibb,64.81,N/A,64.77,Health Care,BMY,"14,421,168",,,,,,,,,,,,,,
75,529.04,292.41 - 495.14,464.50 x 900,"2,248,557",0.95,463.85 x 800,06/08/2021,463.52 - 472.25,8.65,"Sep 01, 2021 - Sep 06, 2021","Jun 21, 2021",14.40 (3.10%),189.26B,Broadcom Inc.,468.05,53.61,463.78,Information Technology,AVGO,"1,661,565",,,,,,,,,,,,,,
76,175.83,117.20 - 167.54,159.34 x 1000,"490,793",0.88,138.98 x 800,06/08/2021,157.63 - 159.19,4.40,"Aug 09, 2021 - Aug 13, 2021","Jun 14, 2021",2.30 (1.45%),18.375B,Broadridge Financial Solutions,159.05,35.99,158.28,Information Technology,BR,"632,148",,,,,,,,,,,,,,
77,,,,,N/A,,06/08/2021,,,,,,,Brown-Forman Corp.,,,N/A,Consumer Staples,BF.B,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
78,102.61,75.58 - 106.75,98.72 x 1000,"1,033,217",0.71,98.68 x 1000,06/08/2021,97.72 - 99.10,4.43,"Jul 26, 2021 - Jul 30, 2021","Jun 03, 2021",2.04 (2.07%),13.122B,C. H. Robinson Worldwide,98.13,22.28,98.55,Industrials,CHRW,"1,032,350",,,,,,,,,,,,,,
79,21.13,15.76 - 22.67,16.97 x 3100,"8,268,729",0.13,16.97 x 3100,06/08/2021,16.41 - 17.03,0.68,"Jul 28, 2021 - Aug 02, 2021","May 12, 2021",0.44 (2.61%),6.798B,Cabot Oil & Gas,16.55,25.01,16.86,Energy,COG,"6,917,835",,,,,,,,,,,,,,
80,151.98,87.75 - 149.08,125.16 x 800,"1,751,943",0.99,125.23 x 900,06/08/2021,125.00 - 127.40,2.34,"Jul 19, 2021 - Jul 23, 2021",N/A,N/A (N/A),34.844B,Cadence Design Systems,126.26,53.51,124.93,Information Technology,CDNS,"1,487,717",,,,,,,,,,,,,,
81,124.75,29.06 - 113.46,112.39 x 1000,"3,914,478",3.19,111.70 x 1200,06/08/2021,110.09 - 112.73,-12.33,"Aug 06, 2021 - Aug 10, 2021",N/A,N/A (N/A),23.312B,Caesars Entertainment,111.67,N/A,110.60,Consumer Discretionary,CZR,"2,696,510",,,,,,,,,,,,,,
82,51.10,44.53 - 54.08,49.17 x 900,"2,170,146",0.57,48.65 x 1800,06/08/2021,48.78 - 49.65,2.66,"Sep 01, 2021 - Sep 06, 2021","Jul 13, 2021",1.48 (2.99%),14.884B,Campbell Soup,49.58,18.48,49.46,Consumer Staples,CPB,"2,520,653",,,,,,,,,,,,,,
83,166.87,57.30 - 168.00,163.00 x 800,"2,844,581",1.79,163.00 x 800,06/08/2021,161.04 - 163.84,15.30,"Jul 19, 2021 - Jul 23, 2021","May 14, 2021",1.60 (0.98%),73.471B,Capital One Financial,162.70,10.64,163.55,Financials,COF,"3,513,600",,,,,,,,,,,,,,
